machine_type,vibration_rms,temperature_motor,current_phase_avg,pressure_level,rpm,operating_mode,hours_since_maintenance,ambient_temp,rul_hours,hour,day_of_week,month,temp_over_rpm,vibration_x_current,maintenance_urgency
Pump,3.36,,21.6,155.5,1574.2,peak,332.21,9.3,10.22,13,1,1,,72.57600000000001,29.608734402852047
Compressor,2.44,62.52,14.8,97.5,1699.1,normal,462.45,15.5,0.5,21,2,1,0.03677430739368273,36.112,308.3
Compressor,2.28,52.52,13.84,106.8,1817.4,normal,357.49,12.1,0.5,7,3,1,0.02888253409590849,31.555199999999996,238.32666666666668
CNC,0.88,49.9,4.21,23.1,911.4,idle,287.93,9.3,46.87,14,0,1,0.05469092503288032,3.7048,6.014831836223105
Pump,0.55,41.31,3.5,15.9,535.4,idle,14.77,10.5,56.93,21,2,1,0.07701342281879195,1.9250000000000003,0.25496288624201624
Pump,1.77,53.02,11.41,114.2,1342.0,normal,36.22,16.5,56.82,0,6,1,0.03947877885331348,20.195700000000002,0.62642684192321
Pump,1.85,60.51,12.76,82.9,1281.0,normal,21.62,11.4,60.52,10,4,1,0.0471996879875195,23.606,0.3514304291287386
Compressor,0.99,48.37,6.15,48.5,764.9,idle,43.7,12.0,34.91,5,2,1,0.06315445880663272,6.088500000000001,1.2169312169312172
Compressor,2.15,54.44,13.79,110.2,1799.1,normal,307.21,17.0,28.07,10,2,1,0.03024276429087273,29.6485,10.567939456484348
Pump,1.86,48.78,12.22,107.9,1314.2,normal,148.33,8.3,0.5,12,3,1,0.03708941605839416,22.729200000000002,98.88666666666667
Compressor,3.52,,32.02,153.6,2251.7,peak,3.62,15.4,6.35,17,6,1,,112.7104,0.49251700680272115
Pump,3.07,83.9,17.45,154.4,1840.2,peak,441.28,10.6,38.47,16,2,1,0.04556810775581143,53.57149999999999,11.180136812769192
CNC,2.11,64.64,11.57,72.2,2805.7,normal,116.5,9.4,0.5,10,2,1,0.023030605337228775,24.412699999999997,77.66666666666667
CNC,2.16,57.78,13.55,68.0,3063.0,normal,116.02,10.0,0.5,9,2,1,0.018857702349869453,29.268000000000004,77.34666666666666
Robotic Arm,1.08,37.87,5.21,45.0,355.0,normal,137.48,12.5,0.5,20,5,1,0.10637640449438202,5.6268,91.65333333333332
Compressor,2.11,53.53,13.25,113.3,1695.0,normal,6.48,9.5,68.98,18,3,1,0.0315625,27.9575,0.09259788511003143
Compressor,0.91,49.33,6.44,48.6,738.3,idle,13.73,13.5,64.87,23,0,1,0.06672528067090491,5.8604,0.2084408683771064
CNC,5.96,71.22,17.87,74.4,2777.5,normal,58.17,16.1,19.85,16,4,1,0.0256325355407594,106.5052,2.789928057553957
CNC,3.72,61.93,20.52,102.0,4069.3,peak,4.12,13.3,90.5,10,1,1,0.015215094710463601,76.3344,0.045027322404371586
CNC,3.36,64.57,15.3,76.0,2970.6,normal,321.71,13.2,25.75,19,6,1,0.021729034863373266,51.408,12.026542056074765
Pump,2.09,56.41,11.53,129.8,1293.0,normal,46.25,18.0,46.79,10,6,1,0.043593508500772794,24.097699999999996,0.9677756852898096
Pump,0.51,35.83,3.34,24.6,559.1,idle,17.12,9.1,75.92,5,5,1,0.06397071951437243,1.7034,0.22256890275611024
Pump,2.62,71.75,15.43,159.2,1790.7,peak,10.05,10.7,61.64,16,2,1,0.04004576659038901,40.4266,0.16044061302681994
Pump,1.74,53.65,11.47,100.8,1259.8,normal,219.18,12.4,75.48,9,0,1,0.042552347715736044,19.957800000000002,2.865847280334728
Pump,1.86,67.51,11.97,100.1,1222.5,normal,407.52,9.5,0.5,6,1,1,0.0551777686963629,22.264200000000002,271.68
Robotic Arm,1.39,42.5,5.33,45.9,357.6,normal,76.62,14.6,7.5,7,3,1,0.11851645287228109,7.4087,9.014117647058825
Compressor,2.29,55.85,15.3,117.2,1752.7,normal,392.59,10.1,0.5,18,4,1,0.03184695215829389,35.037,261.72666666666663
Compressor,2.42,67.47,13.56,102.0,1747.9,normal,8.3,11.4,70.31,17,0,1,0.038578535079192636,32.8152,0.11639321273313702
CNC,0.81,49.52,5.05,24.5,903.0,idle,33.1,17.3,50.38,22,5,1,0.05477876106194691,4.0905000000000005,0.6442195406773064
CNC,0.95,48.8,4.69,23.7,876.4,idle,91.78,8.6,0.5,18,6,1,0.055618873945748805,4.4555,61.18666666666667
Compressor,3.37,69.16,20.75,159.6,2569.9,peak,267.61,12.9,67.67,18,0,1,0.02690108522307363,69.92750000000001,3.8970438328236496
Robotic Arm,1.22,43.46,5.87,44.8,343.6,normal,375.66,15.1,0.5,0,0,1,0.1261172373766686,7.1613999999999995,250.44000000000003
CNC,4.38,69.0,17.6,86.7,2715.3,normal,64.48,11.1,13.53,22,4,1,0.02540220152413209,77.08800000000001,4.4377150722642815
Pump,2.05,67.33,12.48,106.5,1315.0,normal,3.9,10.1,67.4,16,4,1,0.05116261398176292,25.584,0.05701754385964912
Pump,0.68,42.51,3.8,,560.5,idle,21.7,10.9,54.83,4,4,1,0.07570792520035619,2.584,0.38867992118932476
Compressor,2.13,57.67,15.12,97.5,1810.5,normal,21.82,9.8,56.79,7,1,1,0.03183549544576318,32.2056,0.37757397473611354
CNC,2.45,56.51,11.82,66.2,2804.1,normal,156.71,8.6,43.88,15,0,1,0.020145449360094114,28.959000000000003,3.4917557932263814
Robotic Arm,0.42,32.08,2.34,18.2,152.9,idle,155.65,11.0,0.5,17,4,1,0.20844704353476282,0.9827999999999999,103.76666666666667
CNC,2.98,54.45,10.0,58.5,2838.1,normal,132.33,9.6,0.5,15,3,1,0.019178612940720652,29.8,88.22000000000001
Pump,,36.98,3.82,17.8,534.5,idle,121.7,12.4,0.5,8,1,1,0.06905695611577964,,81.13333333333334
Compressor,0.93,49.65,6.28,44.5,739.0,idle,375.96,12.4,0.5,7,5,1,0.06709459459459459,5.840400000000001,250.64
Robotic Arm,1.62,48.75,7.73,62.0,505.4,peak,241.93,16.1,57.66,11,1,1,0.09626777251184834,12.522600000000002,4.124275485850665
CNC,2.86,66.52,10.22,54.9,2778.4,normal,62.58,12.5,25.56,20,3,1,0.0239332229977693,29.229200000000002,2.3561746987951806
CNC,0.72,46.89,4.93,22.6,866.8,idle,108.03,14.5,0.5,1,2,1,0.054033187370361835,3.5496,72.02
CNC,3.27,69.4,24.47,98.3,4027.5,peak,7.35,13.8,67.26,13,2,1,0.017227255802407845,80.01689999999999,0.10767653091122178
Compressor,2.17,56.94,13.17,105.5,1681.0,normal,308.59,12.4,26.68,11,2,1,0.0338525564803805,28.578899999999997,11.148482658959537
Robotic Arm,,44.87,7.99,60.3,515.9,peak,81.43,8.8,12.62,15,6,1,0.08680595859934223,,5.978707782672541
Robotic Arm,0.55,43.4,2.65,20.2,143.0,idle,573.23,16.1,2.45,23,1,1,0.3013888888888889,1.4575,166.1536231884058
CNC,1.06,46.82,5.36,24.9,896.3,idle,406.98,12.4,33.59,18,1,1,0.052178758497715375,5.6816,11.76582827406765
CNC,0.99,40.89,4.72,20.4,894.1,idle,106.7,17.7,35.09,8,1,1,0.045682046698692885,4.6728,2.956497644776946
Pump,1.95,64.09,11.89,84.3,1206.1,normal,55.82,14.6,25.04,15,6,1,0.05309419269323172,23.1855,2.143625192012289
CNC,,63.69,14.57,80.7,2982.0,normal,80.43,8.9,0.5,21,0,1,0.02135098893731143,,53.620000000000005
Robotic Arm,1.16,39.73,5.57,43.7,354.8,normal,70.08,15.5,14.04,0,3,1,0.11166385609893197,6.4612,4.659574468085107
CNC,,55.4,12.23,55.8,2812.7,normal,232.23,10.7,24.36,1,3,1,0.019689376976934285,,9.157334384858045
CNC,0.98,49.54,5.37,22.2,851.1,idle,286.82,16.3,47.98,13,0,1,0.05813871611313226,5.2626,5.855859534503879
CNC,0.74,46.49,5.12,23.5,917.4,idle,298.72,13.8,36.08,0,1,1,0.05062064459930314,3.7888,8.056094929881338
Robotic Arm,1.22,46.95,5.96,41.0,368.5,normal,2.53,17.9,91.52,8,3,1,0.12706359945872803,7.271199999999999,0.027345438824038046
Robotic Arm,0.41,49.66,2.9,17.9,138.3,idle,31.63,15.0,18.75,2,4,1,0.35649676956209614,1.1889999999999998,1.6015189873417721
Compressor,0.93,51.75,5.98,44.1,764.1,idle,49.07,15.1,47.32,7,4,1,0.06763821722650634,5.561400000000001,1.015521523178808
Robotic Arm,1.32,45.72,5.74,42.0,354.8,normal,204.22,12.6,0.5,17,6,1,0.12849915682967958,7.5768,136.14666666666668
Pump,1.91,55.21,12.18,84.4,1223.5,normal,29.85,14.6,52.28,18,4,1,0.04508779093507554,23.2638,0.5602477477477478
Robotic Arm,2.1,68.05,10.69,59.8,439.7,peak,130.78,17.7,14.17,10,2,1,0.15441343317449513,22.449,8.620962425840474
Pump,0.53,43.09,3.83,24.7,565.5,idle,233.37,16.9,61.3,0,1,1,0.07606354810238306,2.0299,3.7459069020866775
Pump,2.25,66.56,20.46,81.9,1153.4,normal,50.83,10.4,9.4,20,3,1,0.05765765765765766,46.035000000000004,4.887499999999999
Compressor,2.49,64.91,13.81,97.5,1794.6,normal,395.45,11.0,0.5,21,4,1,0.03614947649810648,34.386900000000004,263.6333333333333
Pump,2.12,58.8,12.42,84.0,1239.9,normal,53.1,11.2,18.2,18,6,1,0.047384962527197996,26.3304,2.765625
Pump,0.61,40.3,3.51,17.5,549.7,idle,58.22,17.5,34.82,22,6,1,0.07317958961321953,2.1411,1.6253489670575096
CNC,0.86,40.64,5.25,23.6,858.0,idle,14.42,11.5,78.16,17,5,1,0.04731082654249127,4.515,0.18216270843860535
Robotic Arm,0.4,29.11,2.42,16.3,154.7,idle,30.5,14.4,63.56,12,4,1,0.1869621066152858,0.968,0.47242874845105326
CNC,2.93,61.74,12.19,71.0,3010.2,normal,64.9,10.4,18.58,6,0,1,0.02050345377258236,35.7167,3.3146067415730345
Pump,2.13,45.87,12.23,123.0,1206.2,normal,275.67,9.1,19.0,18,2,1,0.03799701789264413,26.0499,13.7835
CNC,2.09,52.18,14.9,84.8,2958.4,normal,125.62,13.4,0.5,19,2,1,0.0176319524227884,31.141,83.74666666666667
CNC,2.37,60.31,11.12,76.3,3063.2,normal,64.92,10.2,10.38,5,0,1,0.0196821356308335,26.3544,5.704745166959578
Pump,2.43,60.64,13.34,89.7,1202.1,normal,332.33,15.2,29.83,10,1,1,0.05040312525974566,32.4162,10.779435614661045
Robotic Arm,0.36,29.19,2.27,17.9,147.7,idle,64.85,8.2,11.84,0,5,1,0.19630127774041697,0.8171999999999999,5.0506230529595015
Compressor,2.23,53.99,15.37,103.6,1660.2,normal,322.01,14.4,35.32,10,2,1,0.03250060197447628,34.275099999999995,8.865914096916299
Pump,0.63,41.53,6.13,15.5,481.8,idle,171.66,15.5,13.94,11,1,1,0.08601905550952775,3.8619,11.48995983935743
CNC,,62.34,15.14,70.8,2779.8,normal,135.52,9.5,41.4,13,2,1,0.02241800920598389,,3.19622641509434
Pump,0.67,40.77,3.5,19.3,536.7,idle,213.18,11.0,0.5,5,6,1,0.07582294960014878,2.345,142.12
Robotic Arm,0.41,28.16,2.26,14.7,152.8,idle,1.27,12.4,82.85,4,0,1,0.18309492847854356,0.9265999999999999,0.015146094215861659
Compressor,0.97,46.08,6.16,46.4,761.4,idle,344.0,15.6,12.35,17,2,1,0.060440713536201465,5.9752,25.767790262172284
Compressor,1.08,46.99,6.4,47.1,777.1,idle,285.29,17.9,72.04,22,0,1,0.060390695283382596,6.912000000000001,3.9059419496166483
CNC,2.88,,14.23,83.8,3035.3,normal,23.37,16.8,59.91,20,6,1,,40.9824,0.38368084058446894
Pump,0.62,35.2,3.45,15.6,539.8,idle,139.33,10.7,0.5,2,2,1,0.06508875739644972,2.1390000000000002,92.88666666666667
Pump,2.13,65.71,12.03,79.3,1215.8,normal,127.38,12.0,0.5,14,1,1,0.05400230111768573,25.6239,84.92
Pump,1.71,51.31,12.02,96.4,1203.6,normal,312.55,8.7,0.5,7,4,1,0.042595052299518515,20.554199999999998,208.36666666666667
Compressor,3.0,64.26,14.48,98.5,1604.2,normal,19.13,16.3,10.52,2,3,1,0.040032394717169205,43.44,1.6605902777777777
CNC,,,5.14,,892.6,idle,73.18,10.5,7.4,23,5,1,,,8.711904761904762
CNC,3.44,69.81,,108.5,3831.9,peak,66.52,9.8,16.96,8,0,1,0.01821336324975867,,3.703786191536748
Robotic Arm,0.38,33.81,2.38,18.0,157.1,idle,521.18,16.6,0.5,19,6,1,0.2138519924098672,0.9044,347.4533333333333
Compressor,1.05,44.91,5.72,47.8,777.7,idle,421.11,17.6,65.8,23,0,1,0.05767304481828688,6.006,6.304041916167665
Robotic Arm,1.23,47.69,5.65,39.7,351.3,normal,77.05,8.1,1.87,10,1,1,0.1353675844450752,6.9495000000000005,26.84668989547038
Pump,0.53,41.36,3.88,16.9,522.6,idle,49.63,10.7,28.04,1,5,1,0.07899159663865546,2.0564,1.7090220385674932
Pump,0.57,41.86,3.47,19.4,567.5,idle,16.62,17.8,59.92,23,3,1,0.07363236587510993,1.9779,0.2728168089297439
Pump,0.84,78.35,4.91,16.2,462.8,idle,477.58,10.8,2.17,4,4,1,0.16893057352307028,4.1244,150.65615141955837
Robotic Arm,0.41,33.68,2.23,17.4,159.7,idle,117.85,16.7,0.5,0,5,1,0.20958307405102677,0.9142999999999999,78.56666666666666
Pump,0.61,40.27,3.53,17.5,535.9,idle,93.63,8.1,0.5,4,0,1,0.07500465636058858,2.1532999999999998,62.419999999999995
Compressor,0.97,50.37,7.81,46.9,744.2,idle,352.73,8.5,31.34,17,3,1,0.06759259259259258,7.575699999999999,10.906926406926406
Robotic Arm,1.0,42.3,5.36,39.4,345.8,normal,63.23,14.0,20.89,18,2,1,0.12197231833910033,5.36,2.888533576975788
CNC,4.72,86.85,25.15,109.2,3581.0,peak,129.5,9.3,11.24,7,1,1,0.024246231155778893,118.70799999999998,10.580065359477125
Pump,2.3,73.35,13.37,98.2,1294.5,normal,40.92,16.8,39.52,12,1,1,0.056619065997684286,30.750999999999994,1.0098716683119446
CNC,1.44,51.08,4.81,23.5,820.4,idle,85.32,12.2,2.83,19,4,1,0.062186510835159484,6.926399999999999,22.27676240208877
CNC,3.66,92.1,21.09,56.6,2615.1,normal,140.42,16.2,0.5,18,1,1,0.035205076258552806,77.1894,93.61333333333333
Pump,1.99,57.04,12.41,129.4,1225.8,normal,4.17,16.9,88.87,16,4,1,0.04649494620149984,24.6959,0.04640035606987871
Compressor,1.3,59.77,6.16,56.7,695.2,idle,21.52,16.5,8.14,5,3,1,0.08585176673369721,8.008000000000001,2.3544857768052516
CNC,1.46,46.3,5.72,23.5,899.8,idle,47.6,9.3,30.42,5,4,1,0.051398756660746,8.351199999999999,1.514958625079567
Pump,0.6,,3.36,22.9,519.9,idle,214.23,9.1,0.5,6,6,1,,2.016,142.82
Pump,0.58,37.6,3.5,16.9,523.5,idle,142.7,9.1,0.5,5,2,1,0.07168732125834128,2.03,95.13333333333333
Robotic Arm,0.44,30.06,2.3,19.6,160.0,idle,309.33,17.7,0.5,6,4,1,0.1867080745341615,1.012,206.22
Compressor,0.99,49.92,6.44,45.9,736.3,idle,23.27,9.2,50.36,20,3,1,0.06770649667706498,6.3756,0.45307632398753894
Pump,0.59,36.43,3.49,15.7,530.8,idle,367.12,9.3,0.5,13,6,1,0.06850319669048514,2.0591,244.74666666666667
Pump,0.67,38.06,3.44,17.3,546.7,idle,2.87,10.2,74.81,3,3,1,0.06949059704217637,2.3048,0.03785780240073869
Compressor,2.26,50.99,15.37,110.2,1656.1,normal,471.11,9.8,0.5,6,3,1,0.03077062337819082,34.7362,314.0733333333333
CNC,3.17,54.02,9.77,78.8,2935.3,normal,32.52,10.2,42.78,21,5,1,0.018397302727922896,30.970899999999997,0.7428049337597077
Robotic Arm,1.33,47.24,5.8,42.8,351.6,normal,28.33,9.4,48.36,11,3,1,0.13397617697107203,7.714,0.5739465153970826
Pump,2.19,57.08,15.24,87.8,1192.1,normal,14.28,17.4,28.86,20,2,1,0.047841756768083145,33.3756,0.478231748158071
CNC,0.86,41.41,4.0,24.9,856.1,idle,16.13,13.3,59.16,5,5,1,0.0483140823707852,3.44,0.2681183510638298
Pump,2.81,,13.43,108.2,1248.1,normal,235.51,15.3,28.31,21,1,1,,37.7383,8.035141589901057
Pump,1.86,,12.31,101.3,1316.6,normal,10.88,15.2,69.97,18,4,1,,22.896600000000003,0.15330421304776667
CNC,0.82,66.79,4.44,20.1,863.8,idle,111.08,13.6,0.5,4,2,1,0.07723172987974099,3.6408,74.05333333333333
Robotic Arm,0.44,32.02,2.56,18.0,146.8,idle,73.12,15.8,20.94,6,6,1,0.21664411366711772,1.1264,3.332725615314494
CNC,4.99,95.0,30.96,100.4,3377.0,peak,135.48,9.8,5.25,13,1,1,0.028123149792776792,154.49040000000002,21.6768
Robotic Arm,0.45,31.9,2.55,,158.5,idle,27.55,10.0,66.51,9,4,1,0.19999999999999998,1.1475,0.408087690712487
CNC,1.67,58.05,5.42,22.4,856.8,idle,336.78,11.9,10.68,10,0,1,0.06767311727675449,9.0514,28.83390410958904
CNC,3.25,71.33,26.59,104.1,3928.7,peak,214.43,13.8,0.5,12,6,1,0.018151512838130136,86.4175,142.95333333333335
CNC,3.39,70.97,12.77,73.8,2728.5,normal,119.85,10.2,20.89,22,0,1,0.026001099102399707,43.2903,5.4751027866605755
CNC,0.91,44.03,5.38,23.9,856.3,idle,379.5,17.6,65.48,14,0,1,0.05135891753178584,4.8958,5.708483754512635
Robotic Arm,0.96,35.05,5.45,47.2,356.7,normal,32.78,17.9,46.14,14,6,1,0.09798714006150405,5.232,0.6953754773016546
Robotic Arm,1.12,36.71,5.5,39.2,341.7,normal,98.7,9.2,0.5,10,6,1,0.10711992996790196,6.16,65.8
CNC,0.76,46.79,5.15,22.6,910.3,idle,277.39,13.1,0.5,23,4,1,0.05134423351256447,3.914,184.92666666666665
Robotic Arm,1.09,43.59,5.72,41.0,355.0,normal,98.27,15.8,0.5,9,6,1,0.12244382022471911,6.2348,65.51333333333334
Robotic Arm,1.2,47.27,5.95,46.3,347.9,normal,29.17,11.2,64.89,11,4,1,0.1354829464029808,7.14,0.4427075428744878
Compressor,3.17,57.12,19.49,153.3,2513.7,peak,328.01,10.4,29.32,16,2,1,0.022714439098103154,61.7833,10.818271767810026
Compressor,2.16,55.21,13.27,115.5,1736.6,normal,36.93,15.7,40.64,16,6,1,0.031773710865561695,28.6632,0.8868876080691642
CNC,1.03,51.81,4.98,18.9,854.0,idle,50.95,10.9,37.19,9,3,1,0.060596491228070176,5.1294,1.3341188792877718
Robotic Arm,0.36,31.68,2.38,19.4,145.3,idle,93.32,15.4,0.5,4,6,1,0.21654135338345862,0.8567999999999999,62.21333333333333
Pump,1.71,48.67,11.06,90.3,1295.2,normal,18.42,12.4,59.26,18,3,1,0.037548217867613025,18.9126,0.3056754065715234
CNC,0.72,47.26,4.57,25.3,867.6,idle,26.78,11.2,56.49,23,6,1,0.054409394427814874,3.2904,0.46582014263350147
Compressor,4.15,72.68,15.06,108.5,1619.6,normal,466.54,11.9,21.21,20,0,1,0.044847587313340743,62.49900000000001,21.0058532192706
Pump,0.66,37.01,,16.0,520.7,idle,107.9,10.5,0.5,19,0,1,0.07094115391987732,,71.93333333333334
Compressor,1.0,47.62,6.2,44.9,764.0,idle,56.12,17.8,37.39,18,5,1,0.06224836601307189,6.2,1.4618390205782754
Robotic Arm,1.17,45.56,5.88,46.0,351.3,normal,134.3,11.9,0.5,17,5,1,0.12932160090831676,6.879599999999999,89.53333333333335
Pump,5.38,89.24,18.65,145.6,1781.6,peak,79.58,11.7,19.82,14,5,1,0.05006170761808594,100.33699999999999,3.8222862632084533
Compressor,1.06,46.52,5.74,47.9,761.9,idle,32.28,10.6,61.22,18,4,1,0.06097784768645957,6.0844000000000005,0.5188042430086789
CNC,0.98,46.83,4.98,23.3,870.5,idle,20.57,16.5,62.71,17,6,1,0.05373493975903614,4.880400000000001,0.32286925129493016
CNC,3.91,64.26,25.24,96.2,3977.3,peak,32.95,11.1,47.63,7,4,1,0.016152628006937637,98.6884,0.6775652889163069
CNC,0.77,49.55,5.44,21.3,893.3,idle,98.95,10.1,41.79,1,0,1,0.055406463155540646,4.1888000000000005,2.312456181350783
Robotic Arm,0.44,30.77,2.26,17.0,145.6,idle,501.21,12.2,0.5,23,5,1,0.20989085948158254,0.9944,334.14
Pump,1.72,62.96,12.74,103.6,1242.7,normal,122.48,10.8,0.5,10,2,1,0.05062314062876899,21.9128,81.65333333333334
Pump,,35.31,3.74,18.2,551.5,idle,184.15,16.0,0.5,23,3,1,0.06390950226244345,,122.76666666666667
Compressor,1.04,51.47,6.63,46.7,771.8,idle,17.22,9.9,76.29,3,4,1,0.06660196687370601,6.8952,0.22279725708371068
Compressor,2.63,85.81,17.19,97.9,1596.2,normal,519.85,9.7,19.2,7,5,1,0.05372526922113699,45.2097,25.73514851485149
Robotic Arm,0.92,43.33,5.8,38.9,344.9,normal,371.51,11.3,71.26,13,0,1,0.12526741832899682,5.336,5.1412953224467195
CNC,2.98,50.3,11.02,87.9,2915.6,normal,195.37,8.6,0.5,17,5,1,0.017246108482479598,32.8396,130.24666666666667
CNC,4.8,71.71,18.24,78.1,2953.4,normal,68.87,8.7,9.15,3,5,1,0.024272271865691846,87.55199999999999,6.785221674876848
Compressor,2.46,50.49,14.88,102.1,1712.9,normal,65.9,14.5,17.11,16,6,1,0.02945912830386837,36.604800000000004,3.6388735505245724
CNC,3.3,64.62,14.67,86.4,2795.6,normal,60.25,10.2,27.89,18,3,1,0.023106629478652652,48.410999999999994,2.085496711664936
CNC,2.14,54.11,15.48,54.9,2982.9,normal,27.15,11.0,46.0,8,6,1,0.01813398572338215,33.1272,0.577659574468085
Robotic Arm,0.36,33.51,2.21,16.4,,idle,248.78,11.2,50.81,18,1,1,,0.7956,4.801775718973171
Pump,0.58,42.75,3.89,23.9,501.0,idle,355.87,13.6,0.5,2,6,1,0.08515936254980079,2.2561999999999998,237.24666666666667
Robotic Arm,1.2,41.99,5.89,46.3,339.5,normal,459.95,12.2,45.36,13,3,1,0.1233186490455213,7.068,9.921268334771355
Pump,2.23,73.67,12.96,95.5,1199.6,normal,48.22,17.8,32.22,20,1,1,0.061360986173579886,28.9008,1.4515352197471403
CNC,0.94,49.15,4.53,24.2,860.4,idle,131.4,13.3,0.5,1,3,1,0.05705827722312515,4.2582,87.60000000000001
Robotic Arm,1.38,45.02,5.58,39.5,366.2,normal,142.91,8.5,62.42,2,0,1,0.12260348583877997,7.700399999999999,2.2533900977609584
Compressor,1.08,45.09,5.63,49.7,753.8,idle,326.44,10.3,30.89,15,2,1,0.059737678855325924,6.0804,10.236437754782063
CNC,4.15,86.26,32.23,106.1,3638.8,peak,153.27,17.0,23.65,7,3,1,0.02369910434639266,133.7545,6.2178498985801225
Compressor,2.11,54.4,14.67,118.3,1801.9,normal,13.77,13.3,59.86,10,3,1,0.03017360918520162,30.953699999999998,0.22625698324022345
CNC,3.62,51.69,15.19,65.9,3039.0,normal,396.8,17.3,43.77,8,1,1,0.01700328947368421,54.9878,8.863077953987045
Compressor,1.46,54.39,6.75,46.4,721.7,idle,457.4,16.8,30.35,11,0,1,0.07525944375259444,9.855,14.59011164274322
CNC,3.04,50.71,15.75,77.8,2989.4,normal,145.43,15.7,0.5,4,4,1,0.016957597645799894,47.88,96.95333333333333
Pump,0.56,35.36,3.58,23.4,564.1,idle,67.48,15.7,9.05,2,6,1,0.06257299592992391,2.0048000000000004,6.714427860696517
Compressor,3.49,61.46,20.25,152.8,2480.6,peak,318.71,9.7,16.57,21,2,1,0.02476627981947131,70.6725,18.139442231075694
CNC,0.72,46.78,4.26,22.1,854.3,idle,63.5,8.8,11.8,4,0,1,0.05469425932421373,3.0671999999999997,4.9609375
Pump,0.54,36.07,3.72,23.6,541.1,idle,304.37,16.1,0.5,23,3,1,0.0665375391994097,2.0088000000000004,202.91333333333333
Robotic Arm,,44.11,5.62,41.9,342.1,normal,75.52,10.7,8.6,6,3,1,0.12856310113669484,,7.866666666666666
Pump,1.94,60.95,11.46,82.0,1284.5,normal,153.52,16.7,0.5,16,2,1,0.04741345779852198,22.232400000000002,102.34666666666668
CNC,2.57,54.69,10.54,86.0,2978.6,normal,18.48,12.8,62.1,16,3,1,0.018354812726540475,27.087799999999998,0.29286846275752776
Robotic Arm,0.38,30.52,2.42,17.6,150.0,idle,40.6,8.1,36.09,0,4,1,0.20211920529801325,0.9196,1.0946346724184415
Compressor,2.49,66.39,13.8,,1711.6,normal,42.22,11.9,33.25,6,5,1,0.03876561952586711,34.362,1.2327007299270072
Compressor,1.03,51.1,6.85,46.4,729.1,idle,22.6,9.7,73.79,4,3,1,0.06999041227229147,7.055499999999999,0.30217943575344297
Compressor,1.05,47.83,6.39,46.8,728.8,idle,2.8,15.4,93.59,8,2,1,0.06553850369964374,6.7095,0.02960143778412094
CNC,2.4,72.91,15.17,64.8,2708.0,normal,159.22,12.6,17.7,13,3,1,0.026913990402362493,36.408,8.514438502673798
Robotic Arm,1.71,50.37,7.75,61.2,502.4,peak,251.1,17.8,48.49,20,1,1,0.10005959475566151,13.2525,5.073752273186502
Compressor,2.42,56.42,14.03,101.4,1770.9,normal,255.48,16.7,79.8,6,0,1,0.03184152604548789,33.9526,3.161881188118812
CNC,0.92,49.08,4.35,25.4,871.7,idle,154.1,12.6,0.5,23,3,1,0.056239257476796145,4.002,102.73333333333333
Robotic Arm,1.02,47.27,5.51,39.5,350.4,normal,53.82,11.3,30.3,8,2,1,0.13451906659077975,5.6202,1.7194888178913739
Robotic Arm,1.26,44.74,5.59,36.2,343.8,normal,559.96,10.1,15.71,9,1,1,0.12975638051044083,7.0434,33.51047277079593
Robotic Arm,1.56,68.58,,41.5,322.3,normal,133.26,16.9,11.69,12,2,1,0.21212496133622022,,10.501182033096926
Pump,,55.13,4.76,22.1,507.5,idle,262.91,17.4,0.91,0,3,1,0.10841691248770895,,137.64921465968587
Robotic Arm,1.81,63.89,9.54,56.7,462.0,peak,17.52,11.8,32.87,12,3,1,0.1379913606911447,17.2674,0.5172719220549159
CNC,4.38,66.54,20.47,108.4,,peak,37.72,13.6,40.3,19,3,1,,89.65859999999999,0.913317191283293
Robotic Arm,0.43,29.18,2.53,16.8,152.7,idle,17.83,17.8,58.86,1,3,1,0.18985035783994797,1.0878999999999999,0.29786167724690943
Compressor,3.01,56.35,21.77,157.1,2585.5,peak,338.83,9.4,0.5,17,3,1,0.02178619756427605,65.5277,225.88666666666666
Pump,0.52,37.84,3.33,16.4,544.3,idle,35.42,10.3,57.62,23,5,1,0.06939299468182653,1.7316,0.604230638007506
Compressor,2.04,58.38,6.95,49.9,725.3,idle,96.85,10.9,9.81,10,4,1,0.08038000826104916,14.178,8.959296947271044
Robotic Arm,0.41,28.31,2.28,15.7,147.9,idle,64.62,10.3,29.44,22,5,1,0.19012760241773,0.9347999999999999,2.1228646517739818
Robotic Arm,1.19,42.7,5.31,45.6,346.1,normal,12.08,8.5,81.97,17,3,1,0.12301930279458369,6.318899999999999,0.1455947932987827
CNC,3.55,65.01,18.36,102.5,3966.2,peak,68.25,13.2,7.05,9,0,1,0.016386872353297038,65.178,8.478260869565217
Compressor,3.07,61.07,18.28,154.8,2459.3,peak,52.5,11.6,41.0,14,5,1,0.02482217615737918,56.1196,1.25
Robotic Arm,0.35,31.21,2.44,16.8,152.3,idle,65.18,14.5,11.51,0,5,1,0.20358773646444878,0.854,5.210231814548362
Compressor,5.77,67.12,15.91,104.2,1649.6,normal,480.45,13.0,7.3,10,1,1,0.040664000969344485,91.80069999999999,57.88554216867469
Compressor,2.33,65.37,14.25,111.7,1653.3,normal,298.73,12.3,58.6,11,1,1,0.03951520280481171,33.2025,5.012248322147651
